515 4	.20396830 .06161860 3.31017420
579 4	.28816490 .08029500 3.58882744
643 4	.38697130 .10983570 3.52318326
707 4	.51054910 .14165630 3.60413973
771 4	.66367650 .18829550 3.52465406
835 4	.83380720 .22809220 3.65557086
899 4	1.03236790 .27756360 3.71939224
963 4	1.27634280 .33768270 3.77971036
1027 4	1.53813040 .40500370 3.79781814
1091 4	1.88527000 .50259050 3.75110552
1155 4	2.31341890 .65488970 3.53253211
1219 4	2.85996610 .89332600 3.20148087
1283 4	4.04194380 1.27174380 3.17826892
1347 4	5.56640870 1.85925170 2.99389732
1411 4	7.70680440 2.50881020 3.07189615
1475 4	9.83810180 3.02439360 3.25291714
1539 4	13.03081380 3.53831580 3.68277297
